Country Name,Country Code,Series Name,Series Code,2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Montenegro,MNE,"Population, total",SP.POP.TOTL,626590,625053,623591,623529
Morocco,MAR,"Population, total",SP.POP.TOTL,36584208,36954442,37329064,37712505
Mozambique,MOZ,"Population, total",SP.POP.TOTL,30783688,31707800,32656246,33635160
Myanmar,MMR,"Population, total",SP.POP.TOTL,53016522,53387102,53756787,54133798
Namibia,NAM,"Population, total",SP.POP.TOTL,2728762,2810548,2889662,2963095
Nauru,NRU,"Population, total",SP.POP.TOTL,11643,11709,11801,11875
Nepal,NPL,"Population, total",SP.POP.TOTL,28966574,29475010,29715436,29694614
Netherlands,NLD,"Population, total",SP.POP.TOTL,17441500,17533044,17700982,17877117
New Caledonia,NCL,"Population, total",SP.POP.TOTL,284176,285214,287123,289870
New Zealand,NZL,"Population, total",SP.POP.TOTL,5090200,5111300,5117100,5245000
Nicaragua,NIC,"Population, total",SP.POP.TOTL,6565267,6644741,6730654,6823613
Niger,NER,"Population, total",SP.POP.TOTL,23717613,24502140,25311973,26159867
Nigeria,NGA,"Population, total",SP.POP.TOTL,213996181,218529286,223150896,227882945
North America,NAC,"Population, total",SP.POP.TOTL,369670740,370404272,373018004,376954413
North Macedonia,MKD,"Population, total",SP.POP.TOTL,1856124,1837114,1831712,1827816
Northern Mariana Islands,MNP,"Population, total",SP.POP.TOTL,47528,46979,46078,45143
Norway,NOR,"Population, total",SP.POP.TOTL,5379475,5408320,5457127,5519594
Not classified,INX,"Population, total",SP.POP.TOTL,..,..,..,..
OECD members,OED,"Population, total",SP.POP.TOTL,1369327995,1371811773,1379097485,1388472514
Oman,OMN,"Population, total",SP.POP.TOTL,4522497,4500424,4730226,5049269
Other small states,OSS,"Population, total",SP.POP.TOTL,12417333,12541889,12699005,12842214
Pacific island small states,PSS,"Population, total",SP.POP.TOTL,2595522,2625493,2656049,2689224
Pakistan,PAK,"Population, total",SP.POP.TOTL,235001746,239477801,243700667,247504495
